file_path,label,length
data\non_scream\1.wav,non_scream,2.024
data\non_scream\10.wav,non_scream,5.419
data\non_scream\100.wav,non_scream,1.0445
data\non_scream\1000.wav,non_scream,1.9155
data\non_scream\1001.wav,non_scream,1.927
data\non_scream\1002.wav,non_scream,1.962
data\non_scream\1003.wav,non_scream,1.904
data\non_scream\1004.wav,non_scream,1.3465
data\non_scream\1005.wav,non_scream,1.8225
data\non_scream\1006.wav,non_scream,1.7875
data\non_scream\1007.wav,non_scream,1.811
data\non_scream\1008.wav,non_scream,1.869
data\non_scream\1009.wav,non_scream,1.7295
data\non_scream\101.wav,non_scream,1.9065
data\non_scream\1010.wav,non_scream,1.8575
data\non_scream\1011.wav,non_scream,2.113
data\non_scream\1012.wav,non_scream,1.509
data\non_scream\1013.wav,non_scream,1.7295
data\non_scream\1014.wav,non_scream,1.8575
data\non_scream\1015.wav,non_scream,1.5555
data\non_scream\1016.wav,non_scream,1.2885
data\non_scream\1017.wav,non_scream,1.869
data\non_scream\1018.wav,non_scream,1.718
data\non_scream\1019.wav,non_scream,1.811
data\non_scream\102.wav,non_scream,1.802
data\non_scream\1020.wav,non_scream,1.7875
data\non_scream\1021.wav,non_scream,2.101
data\non_scream\1022.wav,non_scream,1.6485
data\non_scream\1023.wav,non_scream,1.66
data\non_scream\1024.wav,non_scream,1.753
data\non_scream\1025.wav,non_scream,1.567
data\non_scream\1026.wav,non_scream,1.8805
data\non_scream\1027.wav,non_scream,1.834
data\non_scream\1028.wav,non_scream,1.7875
data\non_scream\1029.wav,non_scream,1.7065
data\non_scream\103.wav,non_scream,5.185
data\non_scream\1030.wav,non_scream,1.741
data\non_scream\1031.wav,non_scream,1.776
data\non_scream\1032.wav,non_scream,1.6485
data\non_scream\1033.wav,non_scream,1.66
data\non_scream\1034.wav,non_scream,1.5325
data\non_scream\1035.wav,non_scream,1.6135
data\non_scream\1036.wav,non_scream,1.7295
data\non_scream\1037.wav,non_scream,1.811
data\non_scream\1038.wav,non_scream,1.776
data\non_scream\1039.wav,non_scream,1.683
data\non_scream\104.wav,non_scream,3.017
data\non_scream\1040.wav,non_scream,1.637
data\non_scream\1041.wav,non_scream,1.567
data\non_scream\1042.wav,non_scream,1.869
data\non_scream\1043.wav,non_scream,1.695
data\non_scream\1044.wav,non_scream,1.544
data\non_scream\1045.wav,non_scream,1.5905
data\non_scream\1046.wav,non_scream,1.7645
data\non_scream\1047.wav,non_scream,1.811
data\non_scream\1048.wav,non_scream,1.7875
data\non_scream\1049.wav,non_scream,1.776
data\non_scream\105.wav,non_scream,4.519
data\non_scream\1050.wav,non_scream,1.7645
data\non_scream\1051.wav,non_scream,1.5325
data\non_scream\1052.wav,non_scream,1.892
data\non_scream\1053.wav,non_scream,1.3
data\non_scream\1054.wav,non_scream,1.741
data\non_scream\1055.wav,non_scream,1.741
data\non_scream\1056.wav,non_scream,1.7875
data\non_scream\1057.wav,non_scream,1.753
data\non_scream\1058.wav,non_scream,1.7995
data\non_scream\1059.wav,non_scream,1.7875
data\non_scream\106.wav,non_scream,2.9255
data\non_scream\1060.wav,non_scream,1.7875
data\non_scream\1061.wav,non_scream,1.7995
data\non_scream\1062.wav,non_scream,1.9385
data\non_scream\1063.wav,non_scream,2.0545
data\non_scream\1064.wav,non_scream,1.776
data\non_scream\1065.wav,non_scream,1.7875
data\non_scream\1066.wav,non_scream,1.834
data\non_scream\1067.wav,non_scream,1.811
data\non_scream\1068.wav,non_scream,1.741
data\non_scream\1069.wav,non_scream,1.7875
data\non_scream\107.wav,non_scream,1.5285
data\non_scream\1070.wav,non_scream,1.9735
data\non_scream\1071.wav,non_scream,2.2175
data\non_scream\1072.wav,non_scream,2.0545
data\non_scream\1073.wav,non_scream,2.113
data\non_scream\1074.wav,non_scream,2.101
